Occupation,Category,Women average annual salary ($),Men average annual salary ($),Pay gap ($),Pay gap as a percentage,Country,Currency
admin & organisation,admin & organisation,41740,51328,9588,0.2102,US,USD
HR managers,admin & organisation,67600,95004,27404,0.4054,US,USD
Production clerks,admin & organisation,38376,53248,14872,0.3875,US,USD
Human resources,admin & organisation,47424,65364,17940,0.3783,US,USD
Admin,admin & organisation,35984,45656,9672,0.2688,US,USD
Accountants,admin & organisation,51948,64272,12324,0.2372,US,USD
Education admin,admin & organisation,60892,74828,13936,0.2289,US,USD
Secretaries,admin & organisation,35620,42172,6552,0.1839,US,USD
Receptionists,admin & organisation,27664,32032,4368,0.1579,US,USD
Property managers,admin & organisation,44980,50752,5772,0.1283,US,USD
Accounting,admin & organisation,34320,38064,3744,0.1091,US,USD
Admin,admin & organisation,33124,36452,3328,0.1005,US,USD
Data entry keyers,admin & organisation,32136,34996,2860,0.089,US,USD
Office clerks,admin & organisation,32552,34424,1872,0.0575,US,USD
Care & education,care & education,43937,53210,9273,0.2017,US,USD
Doctors & surgeons,care & education,64792,104104,39312,0.6067,US,USD
Teachers & instructors,care & education,40144,56992,16848,0.4197,US,USD
Personal care,care & education,23660,31564,7904,0.3341,US,USD
Healthcare,care & education,51116,65312,14196,0.2777,US,USD
Education,care & education,46644,59332,12688,0.272,US,USD
Postsecondary,care & education,59436,73268,13832,0.2327,US,USD
Teacher assistants,care & education,25688,30160,4472,0.1741,US,USD
Social services,care & education,50856,59384,8528,0.1677,US,USD
Pre-secondary,care & education,49712,56992,7280,0.1464,US,USD
Healthcare support,care & education,25584,29120,3536,0.1382,US,USD
Nursing,care & education,24232,27456,3224,0.133,US,USD
Physical therapists,care & education,67964,76856,8892,0.1308,US,USD
Secondary school,care & education,51168,57616,6448,0.126,US,USD
Emergency medical,care & education,36868,41132,4264,0.1157,US,USD
Nursing managers,care & education,55952,61880,5928,0.1059,US,USD
Personal care aides,care & education,22100,24180,2080,0.0941,US,USD
Special education,care & education,51324,56056,4732,0.0922,US,USD
Social workers,care & education,43628,46384,2756,0.0632,US,USD
Creative & media,creative & media,46280,57009,10729,0.2311,US,USD
Web developers,creative & media,51376,64740,13364,0.2601,US,USD
Designers,creative & media,42224,53040,10816,0.2562,US,USD
Arts & media,creative & media,45240,53248,8008,0.177,US,USD
Law & justice,law & justice,31601,40444,8843,0.2622,US,USD
Legal occupations,law & justice,52052,91780,39728,0.7632,US,USD
Protective services,law & justice,32084,46072,13988,0.436,US,USD
Police officers,law & justice,38636,54236,15600,0.4038,US,USD
Lawyers,law & justice,82680,99580,16900,0.2044,US,USD
Security,law & justice,26728,30628,3900,0.1459,US,USD
Bailiffs & jailers,law & justice,35724,39260,3536,0.099,US,USD
Traffic clerks,law & justice,29952,31356,1404,0.0469,US,USD
Manual Work,manual work,24632,30462,5829,0.2382,US,USD
Construction,manual work,26468,39728,13260,0.501,US,USD
Production workers,manual work,25584,35152,9568,0.374,US,USD
Metal workers,manual work,26572,33644,7072,0.2661,US,USD
Grounds maintenance,manual work,21476,26884,5408,0.2518,US,USD
Farming & fishing,manual work,19500,23764,4264,0.2187,US,USD
Farmers,manual work,19188,22724,3536,0.1843,US,USD
Electrical workers,manual work,26312,31096,4784,0.1818,US,USD
Packers,manual work,20540,23868,3328,0.162,US,USD
Laborers,manual work,24752,28392,3640,0.1471,US,USD
Construction,manual work,35932,39364,3432,0.0955,US,USD
Sales & serving others,sales & serving others,35021,42699,7678,0.2155,US,USD
Sales,sales & serving others,29640,43732,14092,0.4754,US,USD
Domestic supervisors,sales & serving others,26000,37440,11440,0.44,US,USD
Retail salespersons,sales & serving others,25532,36296,10764,0.4216,US,USD
Marketing & sales,sales & serving others,59800,84448,24648,0.4122,US,USD
Bartenders,sales & serving others,23868,32968,9100,0.3813,US,USD
Recreation & fitness,sales & serving others,27092,37232,10140,0.3743,US,USD
Real estate,sales & serving others,37752,51532,13780,0.365,US,USD
Drivers,sales & serving others,28340,38428,10088,0.356,US,USD
Insurance sales,sales & serving others,36296,49192,12896,0.3553,US,USD
Food service manager,sales & serving others,30940,41912,10972,0.3546,US,USD
Training,sales & serving others,49660,66560,16900,0.3403,US,USD
Retail supervisors,sales & serving others,30940,41236,10296,0.3328,US,USD
Clergy,sales & serving others,39676,52364,12688,0.3198,US,USD
Janitors,sales & serving others,21580,28080,6500,0.3012,US,USD
Credit counselors,sales & serving others,47580,61776,14196,0.2984,US,USD
Retail sales,sales & serving others,39832,51272,11440,0.2872,US,USD
Wholesale reps,sales & serving others,45396,58240,12844,0.2829,US,USD
Service occupations,sales & serving others,23972,30316,6344,0.2646,US,USD
Transportation,sales & serving others,43472,52728,9256,0.2129,US,USD
Waiters & bartenders,sales & serving others,21840,26468,4628,0.2119,US,USD
Waiters & waitresses,sales & serving others,21580,26052,4472,0.2072,US,USD
Postal service,sales & serving others,44252,53300,9048,0.2045,US,USD
Claims adjusters,sales & serving others,47216,56836,9620,0.2037,US,USD
Wholesale buyers,sales & serving others,41912,50440,8528,0.2035,US,USD
Catering supervisors,sales & serving others,25220,30316,5096,0.2021,US,USD
Advertising sales,sales & serving others,45292,54132,8840,0.1952,US,USD
Butchers,sales & serving others,23764,27924,4160,0.1751,US,USD
Purchasers,sales & serving others,46644,54808,8164,0.175,US,USD
Customer services,sales & serving others,31512,36296,4784,0.1518,US,USD
Pharmacists,sales & serving others,98904,113152,14248,0.1441,US,USD
Sales supervisors,sales & serving others,45656,52208,6552,0.1435,US,USD
Dispatchers,sales & serving others,34788,39728,4940,0.142,US,USD
Chefs & head cooks,sales & serving others,27612,31252,3640,0.1318,US,USD
Insurance clerks,sales & serving others,32864,36868,4004,0.1218,US,USD
Bakers,sales & serving others,24388,26936,2548,0.1045,US,USD
Tellers,sales & serving others,26364,28288,1924,0.073,US,USD
Purchasing managers,sales & serving others,66352,71032,4680,0.0705,US,USD
Counselors,sales & serving others,43212,46020,2808,0.065,US,USD
Cashiers,sales & serving others,20124,21424,1300,0.0646,US,USD
Bus drivers,sales & serving others,30264,32032,1768,0.0584,US,USD
Food service,sales & serving others,19396,19968,572,0.0295,US,USD
Cooks,sales & serving others,21060,21632,572,0.0272,US,USD
Food preparation,sales & serving others,20852,21372,520,0.0249,US,USD
Housekeeping,sales & serving others,20800,21008,208,0.01,US,USD
Stock clerks,sales & serving others,26728,26208,-520,-0.0195,US,USD
"Science, tech & engineering","science, tech & engineering",51021,61057,10036,0.2046,US,USD
Production supervisors,"science, tech & engineering",34268,48984,14716,0.4294,US,USD
Inspectors & testers,"science, tech & engineering",30056,42640,12584,0.4187,US,USD
Production,"science, tech & engineering",26104,36972,10868,0.4163,US,USD
Engineering,"science, tech & engineering",40820,55432,14612,0.358,US,USD
Medical scientists,"science, tech & engineering",59332,75348,16016,0.2699,US,USD
Market research,"science, tech & engineering",52104,65988,13884,0.2665,US,USD
IT support,"science, tech & engineering",43524,54548,11024,0.2533,US,USD
Assembly,"science, tech & engineering",26312,32916,6604,0.251,US,USD
IT & math,"science, tech & engineering",60580,74620,14040,0.2318,US,USD
Diagnostics,"science, tech & engineering",48880,60112,11232,0.2298,US,USD
Physical scientists,"science, tech & engineering",65624,80444,14820,0.2258,US,USD
Architecture,"science, tech & engineering",60216,73476,13260,0.2202,US,USD
Medical managers,"science, tech & engineering",63180,75296,12116,0.1918,US,USD
Software developers,"science, tech & engineering",75764,90272,14508,0.1915,US,USD
Operations managers,"science, tech & engineering",59072,70200,11128,0.1884,US,USD
Operations analysts,"science, tech & engineering",64116,75764,11648,0.1817,US,USD
Social science,"science, tech & engineering",55224,64844,9620,0.1742,US,USD
IT analysts,"science, tech & engineering",65468,75920,10452,0.1597,US,USD
Programmers,"science, tech & engineering",65156,75244,10088,0.1548,US,USD
IT managers,"science, tech & engineering",79508,91676,12168,0.153,US,USD
IT,"science, tech & engineering",51168,58344,7176,0.1402,US,USD
Maintenance,"science, tech & engineering",37700,42848,5148,0.1366,US,USD
Compliance officers,"science, tech & engineering",56784,64324,7540,0.1328,US,USD
Civil engineers,"science, tech & engineering",66300,73112,6812,0.1027,US,USD
Machine operators,"science, tech & engineering",24804,27144,2340,0.0943,US,USD
Science techs,"science, tech & engineering",41860,45344,3484,0.0832,US,USD
Lab techs,"science, tech & engineering",42536,45656,3120,0.0733,US,USD
Health technicians,"science, tech & engineering",32136,32136,0,0,US,USD
Senior managers & execs,senior managers & execs,56883,78447,21564,0.3779,US,USD
Financial advisors,senior managers & execs,52208,85124,32916,0.6305,US,USD
Financial services,senior managers & execs,45916,70512,24596,0.5357,US,USD
Financial managers,senior managers & execs,58604,86892,28288,0.4827,US,USD
Chief executives,senior managers & execs,81744,116792,35048,0.4288,US,USD
Management analysts,senior managers & execs,64428,86580,22152,0.3438,US,USD
Financial operations,senior managers & execs,54912,73632,18720,0.3409,US,USD
Business operations,senior managers & execs,49088,63908,14820,0.3019,US,USD
Management,senior managers & execs,58604,75608,17004,0.2902,US,USD
Financial analysts,senior managers & execs,63648,77636,13988,0.2198,US,USD
Office supervisor,senior managers & execs,39676,47788,8112,0.2045,US,USD
Admin & organisation,admin & organisation,20380,25311,4930,0.2369,UK,UKP
Receptionists,admin & organisation,12009,13281,1272,0.1059,UK,UKP
Secretaries,admin & organisation,14614,15315,701,0.048,UK,UKP
Admin,admin & organisation,14594,18729,4135,0.2833,UK,UKP
Stock control,admin & organisation,17271,20538,3267,0.1892,UK,UKP
Records admin,admin & organisation,17247,21861,4614,0.2675,UK,UKP
Finance admin,admin & organisation,17536,22788,5252,0.2995,UK,UKP
Government admin,admin & organisation,19287,23047,3760,0.1949,UK,UKP
Transport clerks,admin & organisation,20130,24281,4151,0.2062,UK,UKP
Local govt. admin,admin & organisation,19317,25496,6179,0.3199,UK,UKP
Payroll & accounts,admin & organisation,17914,25744,7830,0.4371,UK,UKP
Human resources,admin & organisation,25376,30153,4777,0.1882,UK,UKP
Research & admin,admin & organisation,31261,34986,3725,0.1192,UK,UKP
Accountants,admin & organisation,30122,40427,10305,0.3421,UK,UKP
Housing managers,admin & organisation,28648,37701,9053,0.316,UK,UKP
Care & education,care & education,24341,29575,5234,0.211,UK,UKP
Welfare & housing,care & education,19130,22335,3205,0.1675,UK,UKP
Youth & community,care & education,21281,22817,1536,0.0722,UK,UKP
Social care officers,care & education,20674,25514,4840,0.2341,UK,UKP
Housing officers,care & education,23275,25656,2381,0.1023,UK,UKP
Paramedics,care & education,34764,37078,2314,0.0666,UK,UKP
Childcare,care & education,11092,12880,1788,0.1612,UK,UKP
Teaching assistants,care & education,10931,13391,2460,0.225,UK,UKP
Care workers,care & education,12204,16271,4067,0.3333,UK,UKP
Dental nurses,care & education,14025,17372,3347,0.2386,UK,UKP
Nursing assistants,care & education,15034,17880,2846,0.1893,UK,UKP
Senior care workers,care & education,15189,19681,4492,0.2957,UK,UKP
Ambulance staff,care & education,19460,23126,3666,0.1884,UK,UKP
School crossing,care & education,2301,3219,918,0.399,UK,UKP
Occupational therapy,care & education,26322,28419,2097,0.0797,UK,UKP
Physiotherapists,care & education,26244,28793,2549,0.0971,UK,UKP
Therapists,care & education,26226,29081,2855,0.1089,UK,UKP
Podiatrists,care & education,27624,30559,2935,0.1062,UK,UKP
Nurses,care & education,26291,31816,5525,0.2101,UK,UKP
Nurses & midwives,care & education,26475,31841,5366,0.2027,UK,UKP
Social workers,care & education,29898,32286,2388,0.0799,UK,UKP
Further education,care & education,27121,32378,5257,0.1938,UK,UKP
Primary education,care & education,29665,35127,5462,0.1841,UK,UKP
Teaching & education,care & education,30307,36971,6664,0.2199,UK,UKP
Secondary education,care & education,31683,37124,5441,0.1717,UK,UKP
Health professionals,care & education,27524,38199,10675,0.3878,UK,UKP
Higher education,care & education,35728,44904,9176,0.2568,UK,UKP
Education seniors,care & education,46138,55357,9219,0.1998,UK,UKP
Medical practitioners,care & education,44955,78025,33070,0.7356,UK,UKP
Creative & media,creative & media,26376,31580,5204,0.2119,UK,UKP
Culture & media,creative & media,16093,24227,8134,0.5054,UK,UKP
