"","Occupation","Category","WomenAverageAnnualSalary","MenAverageAnnualSalary","PayGap","PayGapAsAPercentage","Country","Currency","WomenAverageAnnualSalaryEUR","MenAverageAnnualSalaryEUR","salaryGapEUR"
"1","admin & organisation","admin & organisation",41740,51328,9588,0.2102,"US","USD",37983.4,46708.48,8725.08
"2","HR managers","admin & organisation",67600,95004,27404,0.4054,"US","USD",61516,86453.64,24937.64
"3","Production clerks","admin & organisation",38376,53248,14872,0.3875,"US","USD",34922.16,48455.68,13533.52
"4","Human resources","admin & organisation",47424,65364,17940,0.3783,"US","USD",43155.84,59481.24,16325.4
"5","Admin","admin & organisation",35984,45656,9672,0.2688,"US","USD",32745.44,41546.96,8801.52
"6","Accountants","admin & organisation",51948,64272,12324,0.2372,"US","USD",47272.68,58487.52,11214.84
"7","Education admin","admin & organisation",60892,74828,13936,0.2289,"US","USD",55411.72,68093.48,12681.76
"8","Secretaries","admin & organisation",35620,42172,6552,0.1839,"US","USD",32414.2,38376.52,5962.32
"9","Receptionists","admin & organisation",27664,32032,4368,0.1579,"US","USD",25174.24,29149.12,3974.88
"10","Property managers","admin & organisation",44980,50752,5772,0.1283,"US","USD",40931.8,46184.32,5252.52
"11","Accounting","admin & organisation",34320,38064,3744,0.1091,"US","USD",31231.2,34638.24,3407.04
"12","Admin","admin & organisation",33124,36452,3328,0.1005,"US","USD",30142.84,33171.32,3028.48
"13","Data entry keyers","admin & organisation",32136,34996,2860,0.089,"US","USD",29243.76,31846.36,2602.6
"14","Office clerks","admin & organisation",32552,34424,1872,0.0575,"US","USD",29622.32,31325.84,1703.52
"15","Care & education","care & education",43937,53210,9273,0.2017,"US","USD",39982.67,48421.1,8438.43
"16","Doctors & surgeons","care & education",64792,104104,39312,0.6067,"US","USD",58960.72,94734.64,35773.92
"17","Teachers & instructors","care & education",40144,56992,16848,0.4197,"US","USD",36531.04,51862.72,15331.68
"18","Personal care","care & education",23660,31564,7904,0.3341,"US","USD",21530.6,28723.24,7192.64
"19","Healthcare","care & education",51116,65312,14196,0.2777,"US","USD",46515.56,59433.92,12918.36
"20","Education","care & education",46644,59332,12688,0.272,"US","USD",42446.04,53992.12,11546.08
"21","Postsecondary","care & education",59436,73268,13832,0.2327,"US","USD",54086.76,66673.88,12587.12
"22","Teacher assistants","care & education",25688,30160,4472,0.1741,"US","USD",23376.08,27445.6,4069.52
"23","Social services","care & education",50856,59384,8528,0.1677,"US","USD",46278.96,54039.44,7760.48
"24","Pre-secondary","care & education",49712,56992,7280,0.1464,"US","USD",45237.92,51862.72,6624.8
"25","Healthcare support","care & education",25584,29120,3536,0.1382,"US","USD",23281.44,26499.2,3217.76
"26","Nursing","care & education",24232,27456,3224,0.133,"US","USD",22051.12,24984.96,2933.84
"27","Physical therapists","care & education",67964,76856,8892,0.1308,"US","USD",61847.24,69938.96,8091.72
"28","Secondary school","care & education",51168,57616,6448,0.126,"US","USD",46562.88,52430.56,5867.68
"29","Emergency medical","care & education",36868,41132,4264,0.1157,"US","USD",33549.88,37430.12,3880.24
"30","Nursing managers","care & education",55952,61880,5928,0.1059,"US","USD",50916.32,56310.8,5394.48
"31","Personal care aides","care & education",22100,24180,2080,0.0941,"US","USD",20111,22003.8,1892.8
"32","Special education","care & education",51324,56056,4732,0.0922,"US","USD",46704.84,51010.96,4306.12
"33","Social workers","care & education",43628,46384,2756,0.0632,"US","USD",39701.48,42209.44,2507.96
"34","Creative & media","creative & media",46280,57009,10729,0.2311,"US","USD",42114.8,51878.19,9763.39
"35","Web developers","creative & media",51376,64740,13364,0.2601,"US","USD",46752.16,58913.4,12161.24
"36","Designers","creative & media",42224,53040,10816,0.2562,"US","USD",38423.84,48266.4,9842.56
"37","Arts & media","creative & media",45240,53248,8008,0.177,"US","USD",41168.4,48455.68,7287.28
"38","Law & justice","law & justice",31601,40444,8843,0.2622,"US","USD",28756.91,36804.04,8047.13
"39","Legal occupations","law & justice",52052,91780,39728,0.7632,"US","USD",47367.32,83519.8,36152.48
"40","Protective services","law & justice",32084,46072,13988,0.436,"US","USD",29196.44,41925.52,12729.08
"41","Police officers","law & justice",38636,54236,15600,0.4038,"US","USD",35158.76,49354.76,14196
"42","Lawyers","law & justice",82680,99580,16900,0.2044,"US","USD",75238.8,90617.8,15379
"43","Security","law & justice",26728,30628,3900,0.1459,"US","USD",24322.48,27871.48,3549
"44","Bailiffs & jailers","law & justice",35724,39260,3536,0.099,"US","USD",32508.84,35726.6,3217.76
"45","Traffic clerks","law & justice",29952,31356,1404,0.0469,"US","USD",27256.32,28533.96,1277.64
"46","Manual Work","manual work",24632,30462,5829,0.2382,"US","USD",22415.12,27720.42,5305.3
"47","Construction","manual work",26468,39728,13260,0.501,"US","USD",24085.88,36152.48,12066.6
"48","Production workers","manual work",25584,35152,9568,0.374,"US","USD",23281.44,31988.32,8706.88
"49","Metal workers","manual work",26572,33644,7072,0.2661,"US","USD",24180.52,30616.04,6435.52
"50","Grounds maintenance","manual work",21476,26884,5408,0.2518,"US","USD",19543.16,24464.44,4921.28
"51","Farming & fishing","manual work",19500,23764,4264,0.2187,"US","USD",17745,21625.24,3880.24
"52","Farmers","manual work",19188,22724,3536,0.1843,"US","USD",17461.08,20678.84,3217.76
"53","Electrical workers","manual work",26312,31096,4784,0.1818,"US","USD",23943.92,28297.36,4353.44
"54","Packers","manual work",20540,23868,3328,0.162,"US","USD",18691.4,21719.88,3028.48
"55","Laborers","manual work",24752,28392,3640,0.1471,"US","USD",22524.32,25836.72,3312.4
